
[02:21:20.000 --> 02:21:21.000]   >> Thank you.
[03:06:01.000 --> 03:06:05.900]   reserves and operative for the 2425 with only a projection
[03:06:05.900 --> 03:06:07.900]   of $1.2 billion in reserve.
[03:06:07.900 --> 03:06:11.800]   This information came about after budget adoption.
[03:06:11.800 --> 03:06:15.900]   So there is no need to adjust or revoke the resolution of
[03:06:15.900 --> 03:06:19.900]   committed funds that OUSD has because at the time of the
[03:06:19.900 --> 03:06:24.300]   budget adoption, the cap on the local reserves was still
[03:06:24.300 --> 03:06:25.000]   in place.
[03:06:25.000 --> 03:06:30.600]   California continues to monitor enrollment trends being
[03:06:30.600 --> 03:06:34.200]   that education is funded by our average daily attendance.
[03:06:34.200 --> 03:06:37.700]   Therefore, if less students are enrolled, we have less
[03:06:37.700 --> 03:06:38.400]   attendance.
[03:06:38.400 --> 03:06:41.800]   As you see here, the enrollment trend continues to move
[03:06:41.800 --> 03:06:45.700]   downward and that is due to many factors including the cost
[03:06:45.700 --> 03:06:48.500]   of living in California and lower birth rates.
[03:06:48.700 --> 03:06:53.600]   OUSD is no different from the state.
[03:06:53.600 --> 03:06:57.600]   Thanks to our data team, they created a similar chart using
[03:06:57.600 --> 03:06:59.200]   OUSD enrollment data.
[03:06:59.200 --> 03:07:03.500]   So the linear regression bars in the light orange provide a
[03:07:03.500 --> 03:07:07.800]   more optimistic outlook for OUSD's future because the year
[03:07:07.800 --> 03:07:11.800]   over year decline is based on simple attrition of cohorts.
[03:07:11.800 --> 03:07:16.700]   The exponential smoothing in the light green bars shows what
[03:07:16.700 --> 03:07:20.000]   might be more realistic as they follow the current downward
[03:07:20.000 --> 03:07:23.100]   trend more closely in alignment with the state.
[03:07:23.100 --> 03:07:26.300]   Again, this is something that we will continue to monitor.
[03:07:26.300 --> 03:07:31.700]   I will turn it back to Miss Boussara who will share with you
[03:07:31.700 --> 03:07:34.500]   the next steps regarding the budget monitoring and reporting.
[03:07:34.500 --> 03:07:39.900]   Thank you again.
[03:07:42.700 --> 03:07:46.700]   So currently our fiscal team and all our team is working
[03:07:46.700 --> 03:07:52.100]   diligently to close our 23-24 year books and in preparation
[03:07:52.100 --> 03:07:55.900]   for our annual actuals that we will be presenting in September
[03:07:55.900 --> 03:07:56.700]   board meeting.
[03:07:56.700 --> 03:08:02.000]   And that report will also include the school site carryover,
[03:08:02.000 --> 03:08:06.900]   donation carryover if any, and we will also update the budget
[03:08:06.900 --> 03:08:08.600]   to what I presented just earlier.
[03:08:08.600 --> 03:08:12.300]   And in the meantime, we are also working with executive
[03:08:12.300 --> 03:08:16.100]   revenue in collaboration with educational services, human
[03:08:16.100 --> 03:08:19.900]   resources, and the fiscal team we are going to be working on
[03:08:19.900 --> 03:08:24.500]   and looking at a lot of data and working on revenue enhancement,
[03:08:24.500 --> 03:08:28.900]   how to expenditure reductions and one-time revenues if any.
[03:08:28.900 --> 03:08:33.200]   So we are going to be also monitoring enrollment when
[03:08:33.200 --> 03:08:37.000]   students are returning next week and focusing on average
[03:08:37.000 --> 03:08:38.100]   daily attendance.
[03:08:38.900 --> 03:08:43.200]   Also including all those data we'll be presenting by December
[03:08:43.200 --> 03:08:44.700]   in our first income report.
[03:08:44.700 --> 03:08:46.200]   And thank you so much.
[03:08:46.200 --> 03:08:48.900]   And if you have any questions, we are happy to answer.
[03:08:48.900 --> 03:08:52.900]   Thank you both so much for the presentation.
[03:08:52.900 --> 03:08:58.700]   I really liked what Miss Hulking said in the chart as they're
[03:08:58.700 --> 03:09:05.100]   on the different slide sharing the state of California and how
[03:09:05.600 --> 03:09:09.600]   orange unified is okay because we have enough in our reserves.
[03:09:09.600 --> 03:09:14.300]   But looking at the projection of the amount of students will
[03:09:14.300 --> 03:09:17.300]   potentially have in the future, knowing that there's going to
[03:09:17.300 --> 03:09:18.900]   be a decline in our budget.
[03:09:18.900 --> 03:09:22.700]   What else are we doing to prepare and uphold a lot of the
[03:09:22.700 --> 03:09:23.800]   programs that we have?
[03:09:23.800 --> 03:09:27.300]   We don't want to make cuts with programming or anything like
[03:09:27.300 --> 03:09:27.500]   that.
[03:09:27.500 --> 03:09:32.300]   So are there discussions about how to recoup some of that
[03:09:32.400 --> 03:09:36.000]   funding or grant applications?
[03:09:36.000 --> 03:09:40.600]   As Miss Boussara stated, there are the five year stabilization
[03:09:40.600 --> 03:09:44.000]   plan in collaboration with our different divisions in planning
[03:09:44.000 --> 03:09:46.700]   and looking at where are areas that we can and what is some
[03:09:46.700 --> 03:09:49.300]   grants, some grants that we have in order to be able to support
[03:09:49.300 --> 03:09:50.100]   those programs.
[03:09:50.100 --> 03:09:52.100]   Constantly monitoring that.
[03:09:52.100 --> 03:09:53.800]   Thank you.
[03:09:53.800 --> 03:09:56.100]   Are there additional questions or comments from the board?
[03:10:01.300 --> 03:10:02.200]   Okay, thank you.
[03:10:02.200 --> 03:10:02.800]   Thank you.
[03:10:02.800 --> 03:10:07.700]   Thank you.
[03:10:07.700 --> 03:10:14.500]   A, B, the smart plan, school modernization and renovation
[03:10:14.500 --> 03:10:17.600]   for tomorrow plan and surplus property with 711 committee
[03:10:17.600 --> 03:10:18.200]   updates.
[03:10:18.200 --> 03:10:20.300]   So me again.
[03:10:20.300 --> 03:10:30.200]   So today is day 34 for me and I have to say that it's been
[03:10:30.200 --> 03:10:33.900]   exciting getting up to speed on all the projects and tasks
[03:10:33.900 --> 03:10:38.000]   orange unified is engaged in and continuing to engage in with
[03:10:38.000 --> 03:10:41.300]   the community to help provide improved facilities for our
[03:10:41.300 --> 03:10:42.000]   students.
[03:10:42.000 --> 03:10:45.800]   We saw an example of that with an update regarding the next
[03:10:45.800 --> 03:10:47.200]   phase of measure s.
[03:10:47.200 --> 03:10:51.200]   I also have gone back and reviewed some of the previous
[03:10:51.200 --> 03:10:55.000]   board meetings specifically the May 9th and had many one on
[03:10:55.000 --> 03:10:57.200]   one team meetings to get up to speed.
[03:10:58.000 --> 03:11:01.000]   Tonight I want to provide an update based on the information
[03:11:01.000 --> 03:11:04.400]   gathered and next steps needed for effective implementation
[03:11:04.400 --> 03:11:07.600]   of both the school modernization and renovation for tomorrow
[03:11:07.600 --> 03:11:10.600]   project and the 711 committee process.
[03:11:10.600 --> 03:11:15.900]   Part of merging these two topics together is because this 711
[03:11:15.900 --> 03:11:19.500]   committee is part of some of the decisions that may impact the
[03:11:19.500 --> 03:11:20.400]   smart project.
[03:11:20.400 --> 03:11:26.500]   So I must credit Mr. Rivera for his creative thinking and
[03:11:26.500 --> 03:11:31.600]   connection of the acronyms as smart with his idea smart which
[03:11:31.600 --> 03:11:35.500]   stands for school modernization and renovation for tomorrow
[03:11:35.500 --> 03:11:40.100]   has many ideas and resources and where the overarching goal is
[03:11:40.100 --> 03:11:43.200]   to improve our facilities and student learning environments.
[03:11:43.200 --> 03:11:47.800]   Great questions and comments were shared during the May 9th
[03:11:47.800 --> 03:11:52.500]   presentation that made our team reflect and collaborate on all
[03:11:52.500 --> 03:11:55.000]   that is needed to bring these action items.
[03:11:56.000 --> 03:12:02.600]   As part of that collaboration we have identified key ideas
[03:12:02.600 --> 03:12:07.900]   for the plan surplus property 711 committee project list
[03:12:07.900 --> 03:12:10.600]   which includes the deferred maintenance and the facilities
[03:12:10.600 --> 03:12:15.300]   master plan energy management plan and funding specifically
[03:12:15.300 --> 03:12:17.800]   maximizing state modernization funding.
[03:12:17.800 --> 03:12:22.800]   Some of these ideas require us working simultaneously on other
[03:12:22.800 --> 03:12:27.300]   ideas as we're waiting for results by merging these ideas
[03:12:27.300 --> 03:12:30.900]   under smart we can bring a holistic view to the district's
[03:12:30.900 --> 03:12:34.300]   overall facility needs and throughout the year provide
[03:12:34.300 --> 03:12:38.300]   updates to the board with actionable recommendations.
[03:12:38.300 --> 03:12:42.700]   Tonight I'm here to update progress and next steps needed
[03:12:42.700 --> 03:12:47.200]   for two ideas dependent on each other surplus property and
[03:12:47.200 --> 03:12:51.400]   711 committee while the other ideas are also dependent on
[03:12:51.400 --> 03:12:55.500]   these two topics we need to conduct a deeper dive to come
[03:12:55.500 --> 03:12:59.400]   back to the board with detailed updates and believe that the
[03:12:59.400 --> 03:13:02.800]   most efficient way to accomplish the needs is to work in
[03:13:02.800 --> 03:13:07.500]   phases while some phases will overlap as you will hear today
[03:13:07.500 --> 03:13:10.300]   additional and ongoing research is needed.
[03:13:10.300 --> 03:13:16.900]   At the May 9th meeting there were great comments and questions
[03:13:16.900 --> 03:13:20.900]   regarding the 711 process requirements role and support
[03:13:21.000 --> 03:13:24.500]   that will be offered to the committee those comments and
[03:13:24.500 --> 03:13:27.700]   questions led me to meet with staff to see where they were
[03:13:27.700 --> 03:13:33.000]   with this process. As you see on the slide at code 17390
[03:13:33.000 --> 03:13:37.400]   clearly defines the role and purpose of this committee which
[03:13:37.400 --> 03:13:41.400]   for example includes reviewing the projected school enrollment
[03:13:41.400 --> 03:13:45.200]   and other data as provided by the district to determine the
[03:13:45.200 --> 03:13:50.200]   amount of surplus and real property establishing a priority
[03:13:50.200 --> 03:13:56.200]   list use or surplus space and real property make a determination
[03:13:56.200 --> 03:14:00.400]   of the limits of tolerance and use of space and real property
[03:14:00.400 --> 03:14:02.600]   in order to make the recommendation to the board.
[03:14:02.600 --> 03:14:09.300]   Well, it may sound simple. Let me use this map of LaVita to
[03:14:09.300 --> 03:14:13.300]   share some of the conversations we had regarding whether we've
[03:14:13.300 --> 03:14:17.300]   felt fully prepared to provide the necessary information to
[03:14:17.300 --> 03:14:19.500]   the 711 committee members to review.
[03:14:20.500 --> 03:14:24.800]   So here you see in this picture of LaVita an area potential
[03:14:24.800 --> 03:14:29.800]   surplus that is bordered by the orange line. It is approximately
[03:14:29.800 --> 03:14:37.500]   6.8 acres 665 wide by 445 deep and leaves 10 acres for the
[03:14:37.500 --> 03:14:41.600]   school as generally recommended by the California Department
[03:14:41.600 --> 03:14:44.900]   of Education for a 500 student elementary school.
[03:14:45.900 --> 03:14:49.200]   We are currently gathering proposals from architectural
[03:14:49.200 --> 03:14:53.000]   firms to provide a design showing how to accommodate to meet
[03:14:53.000 --> 03:14:57.200]   the CDE recommended hardscape and fill space and determine
[03:14:57.200 --> 03:15:00.000]   the potential area of surplus property available.
[03:15:00.000 --> 03:15:04.400]   We also need to see if the enrollment projections support
[03:15:04.400 --> 03:15:08.800]   the number of portables currently on the list on the site as
[03:15:08.800 --> 03:15:13.200]   fewer portables equal more hardscape space area.
[03:15:14.000 --> 03:15:16.900]   Now these are some of the questions and information that staff
[03:15:16.900 --> 03:15:20.200]   needed more time to work on to provide thorough data for the
[03:15:20.200 --> 03:15:24.600]   board and the committee. The same detailed process would also
[03:15:24.600 --> 03:15:28.300]   need to be done for other surplus properties. Our goal
[03:15:28.300 --> 03:15:31.800]   overall that while some of the surplus work is being completed,
[03:15:31.800 --> 03:15:36.200]   we will finalize the recruitment of the 711 committee and come
[03:15:36.200 --> 03:15:39.700]   back to the board with the recommendation of which property
[03:15:39.700 --> 03:15:42.600]   or properties we want to look at first.
[03:15:43.300 --> 03:15:49.900]   We also in front of you you have copies of the revised application
[03:15:49.900 --> 03:15:53.800]   both in English and in Spanish that was provided along with
[03:15:53.800 --> 03:15:57.600]   this presentation. This application came about based on
[03:15:57.600 --> 03:16:01.600]   comments from the board that took that were during the May 9th
[03:16:01.600 --> 03:16:06.100]   meeting conversations with staff regarding the vetting to select
[03:16:06.100 --> 03:16:11.100]   members for the committee and with the support of legal as
[03:16:11.100 --> 03:16:14.000]   well as what has been done in the past in addition to
[03:16:14.000 --> 03:16:17.600]   conversations with other districts. It is in alignment
[03:16:17.600 --> 03:16:21.700]   with the ed code requirements. We would like to move forward
[03:16:21.700 --> 03:16:25.500]   with this application once we are ready by first bringing the
[03:16:25.500 --> 03:16:30.500]   board committee bylaws for approval. Then reaching out to
[03:16:30.500 --> 03:16:34.400]   those who applied to ask that they please fill out this new
[03:16:34.400 --> 03:16:37.600]   application and confirm that they are still interested.
[03:16:38.400 --> 03:16:41.800]   We would also open the window for additional applicants who may
[03:16:41.800 --> 03:16:46.700]   be interested. Some of the revisions include simplified
[03:16:46.700 --> 03:16:51.000]   information separate from the application. Since the code
[03:16:51.000 --> 03:16:55.400]   requires representation of each of the categories, we added
[03:16:55.400 --> 03:16:58.500]   a question to meet the social ethnic composition of the
[03:16:58.500 --> 03:17:03.100]   district which is optional for the candidates. Applicants can
[03:17:03.100 --> 03:17:07.900]   represent more than one category. Because the code is silent
[03:17:07.900 --> 03:17:11.200]   regarding whether the applicant needs to live in the boundary
[03:17:11.200 --> 03:17:14.700]   if they represent the category, we have actually asked the
[03:17:14.700 --> 03:17:18.800]   question. Our goal is to get a better understanding if the
[03:17:18.800 --> 03:17:22.100]   applicant is directly or indirectly connected to the
[03:17:22.100 --> 03:17:26.400]   district. And finally a signature acknowledging the information
[03:17:26.400 --> 03:17:28.600]   is true to the best of their knowledge.
[03:17:28.600 --> 03:17:34.400]   Additionally, we confirmed with legal that the committee can
[03:17:34.400 --> 03:17:38.400]   serve as an ongoing committee if it continues to meet the member
[03:17:38.400 --> 03:17:43.000]   requirements. Also, the board can appoint new members if after
[03:17:43.000 --> 03:17:46.900]   making a recommendation on a certain property. Some members
[03:17:46.900 --> 03:17:53.900]   decide that they no longer want to participate and or if the
[03:17:53.900 --> 03:17:56.400]   board decides that they want to appoint members that are more
[03:17:56.400 --> 03:18:00.700]   geographically connected to the surplus property. This is
[03:18:00.700 --> 03:18:04.800]   allowable because the committee is strictly advisory. Not
[03:18:04.800 --> 03:18:10.500]   minding as you see here with code 17388. So for now, we want
[03:18:10.500 --> 03:18:13.800]   to make sure that the board is comfortable with the application.
[03:18:13.800 --> 03:18:18.300]   We would keep the board informed for periodic updates of when
[03:18:18.300 --> 03:18:21.400]   we are ready to engage in the recruitment again and use
[03:18:21.400 --> 03:18:24.700]   multiple avenues of outreach, which will include the support
[03:18:24.700 --> 03:18:28.500]   of our communications departments and our school sites. Once
[03:18:28.500 --> 03:18:31.500]   that process is over, we will bring you a recommendation of
[03:18:31.500 --> 03:18:34.700]   the community members who will represent the seven criteria
[03:18:34.700 --> 03:18:39.300]   required with the resolution of outlining the process. Based
[03:18:39.300 --> 03:18:42.700]   on what we heard, priority would be given to applicants who
[03:18:42.700 --> 03:18:46.300]   reside in the district and have a personal stake in the
[03:18:46.300 --> 03:18:49.500]   district with the goal of covering the overall composition
[03:18:49.500 --> 03:18:53.100]   of the district. Applicants would remain on file to be
[03:18:53.100 --> 03:18:57.900]   reviewed if needed or in case of a vacancy as all documents
[03:18:57.900 --> 03:19:00.900]   pertaining to the committee are subject to the Public Records
[03:19:00.900 --> 03:19:04.500]   Act. And that concludes the update.
[03:19:04.500 --> 03:19:09.100]   Thank you very much. I was really pleased to see the
[03:19:09.100 --> 03:19:14.000]   updated application in both languages and fully integrated
[03:19:14.000 --> 03:19:18.600]   in a lot of the feedback that we had. And also the plan of
[03:19:18.600 --> 03:19:23.400]   distribution and recruitment, including our DLAC and ELAC
[03:19:23.500 --> 03:19:28.200]   groups, so that we can really get a wide range of families
[03:19:28.200 --> 03:19:30.400]   to be able to be represented on this committee.
[03:19:30.400 --> 03:19:34.300]   Any other comments or questions?
[03:19:34.300 --> 03:19:39.300]   Trustee Erickson. Sure. First of all, I just want to thank
[03:19:39.300 --> 03:19:44.500]   you and I like how you talked about working in phases and
[03:19:44.500 --> 03:19:48.500]   also really front loading all these answers to questions
[03:19:48.500 --> 03:19:51.500]   before we dive into something. I think that's really important
[03:19:51.500 --> 03:19:55.500]   and I really appreciate that with your planning. You
[03:19:55.500 --> 03:20:00.200]   are asking these questions, but you're also acting quickly
[03:20:00.200 --> 03:20:03.200]   to answer a lot of these questions. I just really
[03:20:03.200 --> 03:20:06.200]   appreciate that. I think in terms of looking at something
[03:20:06.200 --> 03:20:11.200]   like Lovita, I feel it's important that we really perfect
[03:20:11.200 --> 03:20:14.600]   the process and we don't go out and do, you know, five of
[03:20:14.600 --> 03:20:18.000]   these at once, but we really focus on one, make sure that
[03:20:18.000 --> 03:20:23.000]   we do it absolutely correctly and then we can replicate
[03:20:23.000 --> 03:20:25.600]   that later learning from whatever mistakes we make.
[03:20:25.600 --> 03:20:28.200]   So I do appreciate that and I sense that that's kind of
[03:20:28.200 --> 03:20:31.300]   where we're going. So thank you for that. Thank you. And
[03:20:31.300 --> 03:20:33.400]   that is our goal. Thank you.
[03:20:33.400 --> 03:20:40.100]   Thank you. First of all, I want to thank you so much for
[03:20:40.100 --> 03:20:42.700]   taking a look at the last meeting because that was really
[03:20:42.700 --> 03:20:45.500]   telling because we asked a lot of questions and so I say
[03:20:45.500 --> 03:20:48.400]   that you incorporated a lot of our concerns into this new
[03:20:48.400 --> 03:20:52.400]   one. So thank you for that. I really think that was
[03:20:52.400 --> 03:20:56.000]   important. And I just also want to thank you too. I had a
[03:20:56.000 --> 03:20:59.100]   couple of questions and you were able to answer them for
[03:20:59.100 --> 03:21:02.400]   me prior to this and I want to incorporate some of them
[03:21:02.400 --> 03:21:06.800]   into the application as well. So I just want to say
[03:21:06.800 --> 03:21:09.200]   thank you and thank you for making the font size bigger
[03:21:09.200 --> 03:21:12.000]   on the presentation too because I had asked for that.
[03:21:14.900 --> 03:21:15.900]   Thank you.
[03:21:15.900 --> 03:21:22.500]   Thank you. Thank you.
[03:21:22.500 --> 03:21:27.300]   Chelsea Erickson. We have a public comment for this next
[03:21:27.300 --> 03:21:29.800]   item. We do. John Stanks.
[03:21:29.800 --> 03:21:40.200]   Didn't think I'd be the only one that agenda item comment
[03:21:40.200 --> 03:21:43.600]   tonight. Anyway, I'm a parent taxpayer homeowner in the
[03:21:43.600 --> 03:21:46.100]   warrant unified area. I'm glad I'm taking some time to go
[03:21:46.100 --> 03:21:49.800]   over to board policies tonight. I think it's been time to
[03:21:49.800 --> 03:21:51.900]   do that. I'm going to speak really quickly about the
[03:21:51.900 --> 03:21:55.000]   attorney policy that you haven't. I want to frame this
[03:21:55.000 --> 03:21:57.900]   with the attorney represents the district themselves and
[03:21:57.900 --> 03:22:01.500]   not the individual board members and you know, I work a
[03:22:01.500 --> 03:22:04.900]   lot with attorneys in my daily life and I go through a
[03:22:04.900 --> 03:22:07.600]   mantra that if I cannot convince my internal counsel
[03:22:07.600 --> 03:22:10.300]   that what I'm doing is correct, an opposing counsel is
[03:22:10.300 --> 03:22:13.200]   going to eat me alive. So over the last year, I've seen
[03:22:13.200 --> 03:22:16.100]   the board members and I'm happy to have access to the
[03:22:16.100 --> 03:22:19.200]   attorneys here. Weaponized in a way I've just never seen
[03:22:19.200 --> 03:22:22.400]   before in public agency. I'm glad that our worst defender
[03:22:22.400 --> 03:22:25.700]   isn't here to do this anymore. But you know, the point I
[03:22:25.700 --> 03:22:28.700]   want to make is I think all of our board members should
[03:22:28.700 --> 03:22:32.000]   have the equal authority to ask questions of the school
[03:22:32.000 --> 03:22:35.600]   district's attorney when we're here in this meeting running
[03:22:35.600 --> 03:22:38.300]   through the board president the way it has been before. I
[03:22:38.300 --> 03:22:41.000]   find it's back when it doesn't. That's just not the way I
[03:22:41.000 --> 03:22:43.100]   just the way that you can ask your superintendent a
[03:22:43.100 --> 03:22:45.300]   question. I think anybody up here should go and ask your
[03:22:45.300 --> 03:22:48.700]   attorney your question. If it's a legal, it's a legitimate
[03:22:48.700 --> 03:22:51.400]   legal question. There's legal consequences of a board
[03:22:51.400 --> 03:22:53.400]   action. You know, you all need to know that so you can make
[03:22:53.400 --> 03:22:55.900]   an informed decision moving forward. The attorney's job
[03:22:55.900 --> 03:22:58.700]   is to help protect the district. The board, of
[03:22:58.700 --> 03:23:01.600]   course, it's free to overrule and ignore the advice that
[03:23:01.600 --> 03:23:03.900]   you're given here, but I think you just all need to know
[03:23:03.900 --> 03:23:07.500]   what the risks are. The taxpayers pay a lot of money
[03:23:07.500 --> 03:23:09.800]   for an attorney to sit in this room and I just feel
[03:23:09.800 --> 03:23:11.800]   like we're watching the last year and a half of meetings
[03:23:11.800 --> 03:23:14.400]   here. We can use that money a little more wisely in this
[03:23:14.400 --> 03:23:16.800]   boardroom. That's all I have tonight. Thank you very much.
[03:23:16.800 --> 03:23:28.500]   Thank you. This is the proposed revisions to board
[03:23:28.500 --> 03:23:31.700]   policies and bylaws the first reading. So the purpose of
[03:23:31.700 --> 03:23:36.200]   tonight is to review the bylaws that are listed on the
[03:23:36.200 --> 03:23:41.400]   agenda. Add any comments, revisions to then propose
[03:23:41.400 --> 03:23:45.000]   again for a final approval reading at the next meeting.
[03:23:45.000 --> 03:23:52.500]   Are there any questions on this specific one? I mean, I
[03:23:52.500 --> 03:23:55.800]   have comments, but I want a few of them so I don't know
[03:23:55.800 --> 03:23:59.000]   how you want to take that. I think we want to go in at a
[03:23:59.000 --> 03:24:04.300]   time. Are there any additional comments from other board
[03:24:04.300 --> 03:24:09.500]   members or a preference to take one at a time or just
[03:24:09.500 --> 03:24:11.700]   have Trustee Erickson share her comments?
[03:24:11.700 --> 03:24:20.500]   Okay, we'll take one policy at a time or just let us know
[03:24:20.500 --> 03:24:23.600]   which one you're commenting on. Okay, what have I went
[03:24:23.600 --> 03:24:28.200]   through all of them? So I do have some suggestions, I
[03:24:28.200 --> 03:24:31.500]   guess for some of them, but just as a general rule, I
[03:24:31.500 --> 03:24:36.000]   wanted to comment and clarify for the board and for the
[03:24:36.000 --> 03:24:41.200]   public that these revisions are brought to us really to
[03:24:41.200 --> 03:24:45.800]   address changes in the law to sort of sort of tighten
[03:24:45.800 --> 03:24:48.900]   things up as they come along. Is that right?
[03:24:48.900 --> 03:24:55.400]   And so not every board bylaw is in this packet and I do
[03:24:55.400 --> 03:24:59.400]   think that we as a board have an obligation to go through
[03:24:59.400 --> 03:25:04.200]   our board bylaws, even ones that aren't in this packet
[03:25:04.200 --> 03:25:07.600]   provision because they may not have a change in the law,
[03:25:07.600 --> 03:25:11.400]   but we as a board may believe that we should revisit our
[03:25:11.400 --> 03:25:16.000]   bylaws and so I would like to see that happen. I came up
[03:25:16.000 --> 03:25:18.600]   with three of them that I think we could revisit and that
[03:25:18.600 --> 03:25:21.600]   would be or agendize had a future date and that would
[03:25:21.600 --> 03:25:31.700]   be 9322 a 9200 and 9150 specifically having to do with
[03:25:31.700 --> 03:25:37.600]   things like last year we came across an issue where a trustee
[03:25:37.600 --> 03:25:41.200]   was using the official logo for private purposes and we
[03:25:41.200 --> 03:25:45.600]   didn't have a policy on it and so then it just kind of
[03:25:45.600 --> 03:25:48.800]   opened it up as a free for all. I think that we need to look
[03:25:48.800 --> 03:25:52.500]   into that and we need to create policy for that and that
[03:25:52.500 --> 03:25:55.100]   isn't necessarily pulled because there hasn't been a
[03:25:55.100 --> 03:25:58.300]   change in the law. So I don't know how we want to go about
[03:25:58.300 --> 03:26:01.600]   doing that, but I do think that we need to revisit particularly
[03:26:01.600 --> 03:26:04.400]   the board bylaws because those are really how we function
[03:26:04.400 --> 03:26:12.100]   as a board. The other one was the other two you can take a
[03:26:12.100 --> 03:26:19.500]   look at one is the student board member policy and 9322 a I
[03:26:19.500 --> 03:26:21.700]   can't remember what the other one was, but those are three
[03:26:21.700 --> 03:26:24.300]   that I thought we might want to pull in the future. I'm not
[03:26:24.300 --> 03:26:28.900]   going to address them because they're not agendize, but on
[03:26:28.900 --> 03:26:40.800]   the attorney one, the 9124 a I did want to consider in the
[03:26:40.800 --> 03:26:45.200]   last paragraph it says individual board members other than
[03:26:45.200 --> 03:26:48.300]   the board president may not seek advice from the district
[03:26:48.300 --> 03:26:51.700]   legal council on matters of district business unless so
[03:26:51.700 --> 03:26:57.800]   authorized by the majority of the board in open session that
[03:26:57.800 --> 03:27:03.900]   that kind of addresses exactly what the speaker said. Obviously
[03:27:03.900 --> 03:27:06.900]   individual board members in an open session meeting can talk
[03:27:06.900 --> 03:27:11.600]   to council in open session and so that paragraph to me even
[03:27:11.600 --> 03:27:15.200]   though it may be standard language is confusing and I think
[03:27:15.200 --> 03:27:19.600]   we might want to clarify that. I'm assuming that that means
[03:27:19.800 --> 03:27:25.000]   outside the presence of the public and in private or whatever
[03:27:25.000 --> 03:27:29.400]   that only the board president can get advice from district
[03:27:29.400 --> 03:27:33.700]   council, district legal council. So I think we need some
[03:27:33.700 --> 03:27:37.200]   clarification on that and I also think that it would be good
[03:27:37.200 --> 03:27:41.100]   to add language to that that says individual board members
[03:27:41.100 --> 03:27:46.000]   other than the board president and then I would say or the
[03:27:46.000 --> 03:27:51.000]   board presidents presidents as a meeting so that you could if
[03:27:51.000 --> 03:27:53.400]   somebody came to you with a question and they said, you
[03:27:53.400 --> 03:27:55.500]   know, we want to ask this particular question, but you
[03:27:55.500 --> 03:27:59.100]   didn't have time to ask it that you could designate another
[03:27:59.100 --> 03:28:01.800]   board member to ask that particular question on a case
[03:28:01.800 --> 03:28:07.900]   by case basis. So that was just one clarification. I thought
[03:28:07.900 --> 03:28:11.300]   might be important since this is a first read.
[03:28:14.800 --> 03:28:17.800]   So we can move and be voting on it now but
[03:28:17.800 --> 03:28:25.100]   on 9 3 2 0.
[03:28:25.100 --> 03:28:34.400]   I know that that we added this language.
[03:28:34.400 --> 03:28:41.800]   On to the board bylaw that's 9 3 2 3.2 C but I think that we
[03:28:41.800 --> 03:28:46.400]   need to add in this language is a new legislation that talks
[03:28:46.400 --> 03:28:50.900]   about that a special meeting cannot be called for the
[03:28:50.900 --> 03:28:54.600]   purpose of terminating without cause the superintendent or
[03:28:54.600 --> 03:28:59.200]   assistant superintendent. So we talk a lot about what we can
[03:28:59.200 --> 03:29:03.400]   do in these meetings and so I do think that we should add that
[03:29:03.400 --> 03:29:06.300]   clarification in this and so
[03:29:06.300 --> 03:29:11.600]   even though it is in another bylaw, I also think it's important
[03:29:11.600 --> 03:29:16.200]   to add it to this since we put in this bylaw.
[03:29:16.200 --> 03:29:22.900]   However, we have in this existing bylaw that a special
[03:29:22.900 --> 03:29:25.300]   meeting shall not be called regarding the salary salary
[03:29:25.300 --> 03:29:28.400]   schedule or other compensation of the superintendent, assistant
[03:29:28.400 --> 03:29:30.900]   superintendent or other management employee. I think
[03:29:30.900 --> 03:29:34.900]   we should add to that that any action to terminate without
[03:29:34.900 --> 03:29:38.300]   cause the superintendent or assistant superintendent may
[03:29:38.300 --> 03:29:40.600]   only take place at a regular board meeting.
[03:29:41.600 --> 03:29:44.600]   And following an election where one or more board members
[03:29:44.600 --> 03:29:48.200]   are elected or recalled, the board must wait 30 days after
[03:29:48.200 --> 03:29:51.700]   the first meeting of the new board. And I think we should
[03:29:51.700 --> 03:29:58.300]   incorporate that into 93 20 and it would be under the regular
[03:29:58.300 --> 03:29:59.900]   regular meetings heading.
[03:29:59.900 --> 03:30:00.900]   Okay.
[03:30:00.900 --> 03:30:13.900]   One more.
[03:30:13.900 --> 03:30:16.900]   93 23.2.
[03:30:16.900 --> 03:30:24.900]   Actions of the board. The question I have.
[03:30:25.900 --> 03:30:26.900]   Hold on.
[03:30:26.900 --> 03:30:43.900]   It could it could apply to that one or could just apply to 93
[03:30:43.900 --> 03:30:44.900]   23.2.
[03:30:44.900 --> 03:30:48.900]   I'm sorry, actually.
[03:30:48.900 --> 03:30:53.900]   Yeah, it would be 93 23.2 a actions by the board.
[03:30:54.900 --> 03:30:57.900]   And then it's titled restrictions on board actions.
[03:30:57.900 --> 03:31:00.900]   I know a lot of these are specific to.
[03:31:00.900 --> 03:31:05.900]   Our citing code, but my question is.
[03:31:05.900 --> 03:31:10.900]   If we as a board would like to do something like and hear me
[03:31:10.900 --> 03:31:11.900]   out as an example.
[03:31:11.900 --> 03:31:17.900]   That we want to require a two thirds vote of the board.
[03:31:18.900 --> 03:31:23.900]   If the board brought or was voting on a licensing agreement
